xval,average,std_dev
50.0,1633.528890837677,1.960661988210295
116.0,2508.2822076045004,2.715373627171497
127.0,2558.4518268472275,4.379734410803615
47.0,1575.0255585165596,3.5793013112517698
126.0,2557.4438830240765,3.411564291190254
161.0,2349.502942096478,2.9919579970458092
149.0,2454.8267553835,3.087249198023683
132.0,2556.7638592745866,3.639088489507915
45.0,1538.1996639916706,2.2640165476644714
152.0,2430.0620912448185,2.8812461168462056
99.0,2388.761176685992,3.3282799989589007
139.0,2526.970353912473,3.0864295007309446
87.0,2249.6097502739967,3.609221955492408
48.0,1595.0918390166019,3.5088101541876795
135.0,2545.569248346749,4.337393614428051
117.0,2516.924341580799,2.4923743066599786
49.0,1615.1197951475897,2.119544902924703
33.0,1291.8351528204892,2.057926397749268
35.0,1337.5601026830052,3.0159587797282428
105.0,2427.2479858987513,3.7506368757255815
40.0,1440.2826450577645,3.0756105882992695
75.0,2083.441550227005,3.5028615404688597
102.0,2409.579593472451,4.06410284102967
124.0,2552.782605519219,2.4885907621635432
94.0,2334.617822942419,2.381417440606692
163.0,2330.166314021012,3.1657249200937096
164.0,2318.5702399387696,3.6701195134966573
130.0,2558.033513849738,3.4796077444963314
67.0,1949.6509383755465,2.772958763231564
173.0,2235.3638255590113,6.12288969607864
73.0,2049.489089476928,3.2403890314275556
157.0,2385.292560636294,3.9208628665508263
70.0,2000.1583790297086,2.3042736912084183
42.0,1475.6984227711432,3.7639223803925805
145.0,2488.6884561299476,3.993534496285691
34.0,1312.3762572507349,2.1350167110820406
171.0,2255.927283618527,3.7584649616923502
83.0,2197.737375609651,3.2826582383656135
167.0,2291.644020248615,2.522704611095285
151.0,2437.862848969453,1.4202678843918959
61.0,1843.5628045092517,2.658702629737096
141.0,2516.6009428796324,3.441883037570026
136.0,2543.361779236988,2.843764993789186
154.0,2414.6792266411894,5.451581778766775
156.0,2395.1373117378653,3.1737642789270284
92.0,2309.9347085755585,3.210051070807916
56.0,1752.111462473125,1.5232980185866487
89.0,2274.194533295026,2.5894480522112895
72.0,2033.1268307858477,1.6738930518931592
113.0,2487.0962672843602,2.495083966439623
134.0,2549.3530807129896,4.420331639090635
93.0,2322.063464858704,3.0556736609656716
62.0,1861.5561078268822,4.285083505162697
166.0,2300.3618574365264,3.770901301747834
80.0,2156.980447755609,3.672718124405527
43.0,1498.1031237287236,3.5448012750184765
27.0,1168.882538119355,2.1180758808741484
96.0,2355.673837928276,2.893379197973426
31.0,1262.6156228950413,2.454797121874754
58.0,1789.824286541821,2.2644380071190877
175.0,2217.7863660226712,4.357217046817913
84.0,2210.2833184057004,2.2698004862973824
131.0,2556.5174126066527,3.811085963074695
143.0,2500.541135788284,4.469057491799831
169.0,2274.210819767868,3.946139208468764
78.0,2129.2143708990925,3.868641572736345
101.0,2404.645240710474,2.9546399577667346
71.0,2017.4041253916726,2.0997696353752344
51.0,1655.421695352513,2.10383816712026
106.0,2433.7091694700375,3.0335593572660264
170.0,2264.0472006145083,4.162598359808483
63.0,1878.8962357843961,3.392979885651138
142.0,2509.283598690764,2.2896763420880832
64.0,1898.3045072433883,2.3895011534793897
146.0,2480.127264416437,1.911600714695695
155.0,2403.947930319418,4.471075064679973
25.0,1142.0943313086436,1.717487442755905
82.0,2185.052481372436,1.999428032188357
41.0,1460.5185070835141,3.182138578358684
66.0,1933.0375623182024,2.6708226069252183
98.0,2377.120516165987,2.9993678595448947
174.0,2227.136365154237,3.892959446311287
57.0,1771.8828509845712,3.372500295261728
108.0,2448.591498706363,3.5701351507818
37.0,1378.0940334684012,1.7128060083325174
153.0,2422.5549112200183,2.8717932604545564
52.0,1673.7902686869681,5.677793684171896
53.0,1694.634307993185,3.2052960201040115
46.0,1555.529663846962,2.4448481743651667
144.0,2495.5575104379436,3.786001805456728
123.0,2550.5543415323295,2.797566083335094
109.0,2455.974045281001,2.5930078112256454
122.0,2546.7485329533115,2.1606946041836106
